	QUESTION	ANSWER_CHOICE	MEAN_SCORE	MAX_SCORE	MEDIAN_SCORE	CORRECT_ANSWER
0	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	conduction	0.5009936958852494	1.00127551020408	0.501063636603865	conduction
1	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	convection	1.000519334834006	1.00127551020408	1.00004565376187	conduction
2	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	combustion	0.36	0.36	0.36	conduction
3	A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	radiation	0.514817372767979	1.0	0.41158686383989557	conduction
4	What starts the change from an igneous rock to a sedimentary rock? 	melting	0.750110310524	1.0	1.0	weathering
5	What starts the change from an igneous rock to a sedimentary rock? 	weathering	0.15	0.5	0.0625	weathering
6	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	condensation	0.8463433921096835	1.0	1.0	evaporation
7	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	precipitation	1.0203547251326668	1.183192526194	1.0	evaporation
8	When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	evaporation	1.2906737849001686	1.9208503690032	1.2214089407155	evaporation
9	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "	mimicry	0.0	0.0	0.0	camouflage
10	"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. "	camouflage	0.0	0.0	0.0	camouflage
11	mowing the lawn 	physical change	0.0	0.0	0.0	physical change
12	mowing the lawn 	chemical change	0.0	0.0	0.0	physical change
13	The path Earth makes around the sun is called the 	rotation	0.00014135772917385	0.00026858949512700007	0.00014135772917385004	orbit
14	The path Earth makes around the sun is called the 	orbit	0.81879758562698	1.417347381443	1.0	orbit
15	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "	evaporation	0.7845772328824222	1.135162572564	0.848218762884	condensation
16	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "	condensation	1.5159679467151168	2.507175092766	1.567109388146	condensation
17	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "	precipitation	0.212114300691844	0.87921859114	0.053392521503	condensation
18	"The process by which a gas changes into a liquid is called <span class=""blank""> </span>. "	transpiration	0.5081810611778399	0.728690216875	0.507175092766	condensation
19	The continuous movement of nitrogen between air, soil, plants and animals. 	carbon cycle	0.6073695894035	1.0	0.6073695894035	nitrogen cycle
20	The continuous movement of nitrogen between air, soil, plants and animals. 	nitrogen cycle	1.00290695895967	1.00390625	1.00290695895967	nitrogen cycle
21	Andy is cooking a piece of ham in a pan. 	conduction	0.0	0.0	0.0	conduction
22	Andy is cooking a piece of ham in a pan. 	friction	0.0	0.0	0.0	conduction
23	What causes sunflowers to bend toward the sunlight? 	negative tropism	0.007341702795225	0.0123456790123	0.007341702795225	positive tropism
24	What causes sunflowers to bend toward the sunlight? 	transportation	0.0	0.0	0.0	positive tropism
25	What causes sunflowers to bend toward the sunlight? 	positive tropism	0.0	0.0	0.0	positive tropism
26	What causes sunflowers to bend toward the sunlight? 	pollination	0.0	0.0	0.0	positive tropism
27	"A liquid changing to a solid, A solid changing to a liquid, and a liquid changing into a gas are all examples of <span class=""blank""> </span> "	boiling	0.6230697804512433	1.0691711837864	0.5930287566624001	physical change
28	"A liquid changing to a solid, A solid changing to a liquid, and a liquid changing into a gas are all examples of <span class=""blank""> </span> "	physical change	1.1501415621017261	1.38840165778	1.0721845014668	physical change
29	"A liquid changing to a solid, A solid changing to a liquid, and a liquid changing into a gas are all examples of <span class=""blank""> </span> "	evaporation	1.486552576350757	3.0	1.5656354226127003	physical change
30	Waves change a shoreline by erosion and __________. 	deposition	0.20954938075975	0.32459205936999996	0.20200633327450002	deposition
31	Waves change a shoreline by erosion and __________. 	condensation	0.0	0.0	0.0	deposition
32	Waves change a shoreline by erosion and __________. 	precipitation	0.0	0.0	0.0	deposition
33	Waves change a shoreline by erosion and __________. 	evaporation	0.11277873989912668	0.16495687127800002	0.16495687127800002	deposition
34	"<span class=""blank""> </span>is the process of liquid water turning into water vapor. "	storage	0.50929752066115	1.0	0.50929752066115	evaporation
35	"<span class=""blank""> </span>is the process of liquid water turning into water vapor. "	condensation	0.6941531082031661	1.135162572564	0.586398656228	evaporation
36	"<span class=""blank""> </span>is the process of liquid water turning into water vapor. "	precipitation	0.13578242413466668	0.259138989253	0.111111111111	evaporation
37	"<span class=""blank""> </span>is the process of liquid water turning into water vapor. "	evaporation	1.3161432874228312	2.0	1.0218992813778	evaporation
38	A new aluminum can made from used cans is an example of 	repairing	0.08910153662810001	0.08910153662810001	0.08910153662810001	recycling
39	A new aluminum can made from used cans is an example of 	reducing	0.0007017236086139999	0.0007017236086139999	0.0007017236086139999	recycling
40	A new aluminum can made from used cans is an example of 	reusing	0.0	0.0	0.0	recycling
41	A new aluminum can made from used cans is an example of 	recycling	0.0	0.0	0.0	recycling
42	Which of the following processes makes it possible for plants to use energy from sunlight to produce their own food? 	metamorphosis	0.5555555555555001	1.0	0.5555555555555	photosynthesis
43	Which of the following processes makes it possible for plants to use energy from sunlight to produce their own food? 	photosynthesis	1.9624000423169998	2.194281285565	2.0	photosynthesis
44	Which of the following processes makes it possible for plants to use energy from sunlight to produce their own food? 	pollination	1.0	1.0	1.0	photosynthesis
45	Which of the following processes makes it possible for plants to use energy from sunlight to produce their own food? 	reproduction	0.8380921547625189	1.393169383983	0.92625169848885	photosynthesis
46	Burning a match is a 	physical change	0.03144033914556	0.0673675526626	0.012044115333399998	chemical change
47	Burning a match is a 	chemical change	0.01750105288542	0.0295014880952	0.01750105288542	chemical change
48	bleaching your hair 	physical change	0.12009346418651998	0.20833333333299997	0.09803349689989999	chemical change
49	bleaching your hair 	chemical change	0.12655290139295	0.20833333333299997	0.12655290139295	chemical change
50	A reaction that forms water and a salt is called a 	chemical reaction	0.7681239048186	1.0216360072550001	1.0	neutralization reaction
51	A reaction that forms water and a salt is called a 	neutralization reaction	0.2841684555048	0.2841684555048	0.2841684555048	neutralization reaction
52	What is the force that slows down moving things? 	motion	0.005278577744979999	0.005278577744979999	0.005278577744979999	friction
