QUESTION	OPTIONS	OPTION_A	OPTION_B	OPTION_C	OPTION_D	QUESTION_PROCESS_NAME	ANSWER
Which would cause liquid water to change to a solid? 	(A) warming (B) heating (C) freezing (D) dripping	warming	heating	freezing	dripping	0	OPTION_C
To separate a mixture of paper clips and sand, Joe should use: 	(A) wind separation (B) distillation (C) magnetic separation (D) decanting	distillation	magnetic separation	decanting		0	OPTION_B
The process of plowing furrows across a slope instead of up and down to prevent rainwater from carrying away topsoil down hills 	(A) windbreaking (B) terracing (C) contour plowing (D) strip farming	windbreaking	terracing	contour plowing	strip farming	0	OPTION_C
<span class="blank"> </span> is the major change in the body form of an animal during its life cycle. 	(A) life cycle (B) metamorphosis (C) trait (D) gene	life cycle	metamorphosis			0	OPTION_B
When an object orbits another object, it <span class="blank"> </span>. 	(A) vibrates (B) rotates (C) explodes (D) revolves	vibrates	rotates	explodes	revolves	0	OPTION_D
Precipitation that falls in form of balls of ice is called <span class="blank"> </span>. 	(A) hail (B) rain (C) snow	hail	rain	snow		0	OPTION_A
If plaque is not cleaned off the teeth, it can cause the enamel of your teeth to <span class="blank"> </span>. 	(A) harden (B) become whiter (C) shine (D) decay	harden	become whiter	shine	decay	0	OPTION_D
Through <span class="blank"> </span> human beings are able to produce new human beings. 	(A) reproduction (B) circulation (C) digestion	reproduction	circulation	digestion		0	OPTION_A
Teeth help us to <span class="blank"> </span>. 	(A) ride a bike (B) talk (C) swim (D) write	talk	swim	write		0	OPTION_A
When water is heated and it is rising into the air as a gas (like water vapor), this is called: 	(A) Condensation (B) Evaporation (C) Precipitation	condensation	evaporation	precipitation		0	OPTION_B
Rocks change over time from one type to another.	(A) type changing (B) the rock cycle (C) erosion (D) melting	the rock cycle	erosion	melting		0	OPTION_A
When water particles cool and change from a gas (like water vapor) back to a liquid, this is called: 	(A) Evaporation (B) Condensation (C) Precipitation	evaporation	condensation	precipitation		0	OPTION_B
What starts the change from an igneous rock to a sedimentary rock? 	(A) heat (B) pressure (C) melting (D) weathering	melting	weathering			0	OPTION_B
<span class="blank"> </span> is the process of water vapor becoming liquid water when it cools. 	(A) storage (B) precipitation (C) evaporation (D) condensation	storage	precipitation	evaporation	condensation	0	OPTION_D
The movement of an animal from one place to another as the seasons change is called 	(A) pollination (B) migration (C) hibernation (D) decomposition	pollination	migration	hibernation	decomposition	0	OPTION_B
Energy from the sun reaches earth by <span class="blank"> </span>. 	(A) friction (B) convection (C) reflection (D) radiation	friction	convection	reflection	radiation	0	OPTION_D
<span class="blank"> </span> is the type of thermal energy transfer that occurs when the you place a cooler object on a heat source to warm the cooler object up. 	(A) covection (B) conduction (C) radiation	convection	conduction	radiation		0	OPTION_B
<span class="blank"> </span> is the process of changing liquid water to water vapor. 	(A) Condensation (B) Storage (C) Evaporation	condensation	storage	evaporation		0	OPTION_C
The act of saving, protecting or using resources wisely is called <span class="blank"> </span> 	(A) innovation (B) conservation (C) recycling (D) condensation	innovation	conservation	recycling	condensation	0	OPTION_B
<span class="blank"> </span> is the process of liquid water turning into water vapor	(A) storage (B) precipitation (C) evaporation (D) condensation	storage	precipitation	evaporation	condensation	0	OPTION_C
A new carpet pad made from scraps of old carpets is an example of 	(A) repairing (B) reducing (C) revising (D) recycling	repairing	reducing	revising	recycling	0	OPTION_D
If a fire destroys a forest, new plants will grow. 	(A) conservation (B) plantation (C) erosion (D) succession	conservation	erosion	succession		0	OPTION_C
A period when an animal goes into a long, deep sleep is called 	(A) camouflage (B) hibernation (C) migration (D) all of the above	camouflage	hibernation	migration		0	OPTION_B
Waves change a shoreline by erosion and __________. 	(A) condensation (B) precipitation (C) deposition (D) evaporation	condensation	precipitation	deposition	evaporation	0	OPTION_C
Thermal energy that travels from the sun to Earth is transferred by 	(A) conduction (B) fuel (C) convection (D) radiation	conduction	convection	radiation		0	OPTION_C
A new aluminum can made from used cans is an example of 	(A) recycling (B) reducing (C) reusing (D) repairing	recycling	reducing	reusing	repairing	0	OPTION_A
Glaciers are slow-moving sheets of ice found on land. What process occurs when glacial ice is heated to 5° Celsius? 	(A) evaporation (B) freezing (C) melting (D) precipitation	evaporation	freezing	melting	precipitation	0	OPTION_C
A student is investigating changes in the states of matter. The student fills a graduated cylinder with 50 milliliters of packed snow. The graduated cylinder has a mass of 50 grams when empty and 95 grams when filled with the snow. During which process in the water cycle does snow fall to the ground? 	(A) classification (B) condensation (C) evaporation (D) precipitation	classification	condensation	evaporation	precipitation	0	OPTION_D
An area received six inches of snow during the winter. Before the snow can continue through the water cycle as ground water or runoff, it must first 	(A) condense. (B) evaporate. (C) freeze. (D) melt.	condense	evaporate	freeze	melt	0	OPTION_D
Students want to find out at which temperature bean plants grow tallest. Which science process skill would be used to find this temperature? 	(A) inferring (B) predicting (C) measuring (D) classifying	inferring	predicting	measuring	classifying	0	OPTION_C
A pot is heated on a stove. Which process causes the metal handle of the pot to also become hot? 	(A) combustion (B) convection (C) radiation (D) conduction	combustion	convection	radiation	conduction	0	OPTION_D
After a rain, a puddle of water remains on a sidewalk. After a day of sunshine, the puddle is gone. Which process is most responsible for the disappearance of the puddle? 	(A) precipitation (B) transpiration (C) evaporation (D) condensation	precipitation	transpiration	evaporation	condensation	0	OPTION_C
