warming						Then after a day of not using the water heater there is only luke warm water.
warming						So when energy is transferred from the water to the spoon, the spoon gets warmer and the water gets cooler.
warming	people animals plants		global warming	things		Global warming is doing many things to people as well as animals and plants.
warming	water cycle energy	Solar	warms	energy	in the ocean [location]	Sun provides energy for the water cycle: Solar energy warms water in the ocean, leading to evaporation.
warming	water		warm			The cold air cannot make water evaporate because it needs warm air to do that.
heating			heat energy			A toaster changes electrical energy into heat energy.
heating			heat energy			there is mechanical energy, and there is heat energy.
heating	energy		burnt			When fuels are burnt first of all chemical energy changes to heat energy and sometimes to light energy as well.
heating		light	burning	energy the		Burning changes the chemical energy of the wood to heat energy and light energy.
heating		water	heat			May be used to heat air or water.
freeze | freezing	water		changing | freezing	ice		Liquid water changing to ice is called freezing.
freeze | freezing	liquid	loss of heat	pass	solid		To pass from the liquid to the solid state by loss of heat.
freeze | freezing	liquid	temperature is lowered below its point	phase transition | freezing | solidification	solid		Freezing, or solidification, is a phase transition in which a liquid turns into a solid when its temperature is lowered below its freezing point.
freeze | freezing			become hardened	ice solid body		to become hardened into ice or into a solid body
freeze | freezing	Salt water	lower temperature	freeze			Salt water needs a lower temperature to freeze than pure water.
freeze | freezing	water		freeze			Running water does not freeze as easily as water that is not moving.
freeze | freezing	water		changed | freezing	solid ice		The water has changed from liquid water to solid ice through the process of freezing.
freeze | freezing	water		freezes | it expands			because some rocks absorb water and when water freezes it expands.
freeze | freezing	water vapour or liquid		freeze	Water as Ice		Water as Ice Ice occurs when water vapour or liquid water freeze.
dripping		condensed	dripping off their chilled drink glass	water		People buy coasters to keep condensed water from dripping off their chilled drink glass onto their coffee tables.
distillation		selective	distillation			The Distillation is a process of separating the component substances from a liquid mixture by selective evaporation and condensation.
distillation	liquid	a process of	purifying			the action of purifying a liquid by a process of heating and cooling.
magnetic separation	material	force	magnetic separation			Magnetic separation is a process in which magnetically susceptible material is extracted from a mixture using a magnetic force.
decant | decanting			decantation | separation	liquid		Decantation is a process for the separation of mixtures, by removing a layer of liquid, generally one from which a precipitate has settled.
windbreaking	one or more rows of trees shrubs		windbreak | plantation | planted	provide shelter from the wind and to protect soil erosion		A windbreak or shelterbelt is a plantation usually made up of one or more rows of trees or shrubs planted in such a manner as to provide shelter from the wind and to protect soil from erosion.
windbreaking	wind	porous obstacle	windbreak	air pressure increases on the windward side and decreases leeward		In essence, when the wind encounters a porous obstacle such as a windbreak or shelterbelt, air pressure increases on the windward side and air pressure decreases on the leeward side.
windbreaking	trees		providing | harvested	habitat for wildlife wood products		Other benefits include providing habitat for wildlife and in some regions the trees are harvested for wood products.
windbreaking						something such as a fence or group of trees that protects an area from the wind
windbreaking			windbreaks	keep snow from drifting onto roadways and even yards		Windbreaks are also planted to help keep snow from drifting onto roadways and even yards.
terracing			terrace	intercept runoff water reduce soil erosion		A terrace is an earthen embankment, ridge or ridge-and-channel built across a slope (on the contour) to intercept runoff water and reduce soil erosion.
terracing			terrace | sloped plane	effective farming		In agriculture, a terrace is a piece of sloped plane that has been cut into a series of successively receding flat surfaces or platforms, which resemble steps, for the purposes of more effective farming
terracing	sides of hills mountains	slope	method of growing			method of growing crops on sides of hills or mountains by planting on graduated terraces built into the slope
terracing	fields		terraced	decrease erosion and surface runoff support growing crops that require irrigation		Terraced fields both decrease erosion and surface runoff, and may be used to support growing crops that require irrigation, such as rice.
terracing			method	reduce soil erosion		Though labour-intensive, the method has been employed effectively to maximize arable land area in variable terrains and to reduce soil erosion and water loss.
contour plowing			contour plowing	slows the water flow helps save precious topsoil		Contour plowing forms ridges, slows the water flow and helps save precious topsoil.
contour plowing			contour plowing			Contour plowing or contour farming or Contour bunding is the farming practice of plowing and/or planting across a slope following its elevation contour lines.
contour plowing			contour plowing | method of plowing furrows that follow the curves of the land			Contour plowing was a method of plowing furrows that follow the curves of the land rather than straight up and down slopes.
contour plowing						The water break also allows more time for the water to settle into the soil.
contour plowing	soil	slopes	tilling	prevents fertile topsoil from being carried downhill by flowing rainwater .		Tilling the soil along the gentle slopes of a piece of cropland, instead of up and down the gradient, prevents fertile topsoil from being carried downhill by flowing rainwater.
strip farming	crops		method of growing	barriers against erosion		a method of growing crops in strips or bands arranged to serve as barriers against erosion
