Andy is cooking a piece of ham in a pan. 	ham		cooking	pan	in a pan	Andy is cooking a piece of ham in a pan. What is this an example of?
What do we call the process of a seed developing into a plant? 	seed plant		process | developing			What do we call the process of a seed developing into a plant?
What process ends with a new and improved plant? 			process	new and improved plant		What process ends with a "new and improved" plant?
A force that resists motion created by objects rubbing together. 		objects	force			A force that resists motion created by objects rubbing together.
What is it called when an object is moved from one position to another? 	object		moved		from one position to another	What is it called when an object is moved from one position to another?
When we cut down trees or drain wetlands, we do what to the habitats of many living things? 						When we cut down trees or drain wetlands, we do what to the habitats of many living things?
To travel from one place to another. 			travel	place	from one place to another	To travel from one place to another.
What do you call movements from one location to another? 			movements	one location to another	from one location to another	What do you call movements from one location to another?
When closely related living things are bred together, it is called 	things		bred together	living		When closely related living things are bred together, it is called
The force that keeps us on Earth is <span class="blank"> </span> 			force			The force that keeps us on Earth is
__________ is the movement of a group of one type of animal from one region to another and back again. 			movement	from one region to another and	from one region to another and back again	is the movement of a group of one type of animal from one region to another and back again.
The process of a liquid becoming a gas is called <span class="blank"> </span> 	liquid		process | becoming	gas		The process of a liquid becoming a gas is called
Which of the following processes makes it possible for plants to use energy from sunlight to produce their own food? 			processes	produce their food		Which of the following processes makes it possible for plants to use energy from sunlight to produce their own food?
To go into a deep sleep. 			deep sleep			To go into a deep sleep.
Which of the following must all plant and animal species do in order for each species to survive? 						Which of the following must all plant and animal species do in order for each species to survive?
What helps an animal look like another animal to protect it from predators? 						What helps an animal look like another animal to protect it from predators?
An adaptation in which an animal looks very much like another animal or an object is a _____________. 	animal object		adaptation			An adaptation in which an animal looks very much like another animal or an object is.
<span class="blank"> </span> is an animal's color or pattern that helps it blend in with its surroundings. 						is an animal's color or pattern that helps it blend in with its surroundings.
The process that forms reproductive cells is called? 	cells		process			The process that forms reproductive cells is called?
Which is reproduction that requires a male and female cell? 			reproduction	cell		Which is reproduction that requires a male and female cell?
<span class="blank"> </span> is a change of position. 			change of position			is a change of position.
The force that pulls objects to the center of the Earth is called? 	force objects	of the Earth	force | pulls	center		The force that pulls objects to the center of the Earth is called?
When something changes position, it is in? 			changes position			When something changes position, it is in?
What is the force that slows down moving things? 	moving things		force			What is the force that slows down moving things?
Light can <span class="blank"> </span>off surfaces that it strikes. 					off surfaces that it strikes	Light can off surfaces that it strikes.
Your respiratory system helps you <span class="blank"> </span>. 						Your respiratory system helps you .
The process by which molten material adds new oceanic crust to the ocean floor 	molten material		process			The process by which molten material adds new oceanic crust to the ocean floor
What is it called when two different organisms form a relationship where they are dependent upon each other? 	organisms		form	relationship dependent		What is it called when two different organisms form a relationship where they are dependent upon each other?
When plants use stored sugar for energy, they go through a process called 	plants		process | use stored sugar for energy	process		When plants use stored sugar for energy, they go through a process called
