A change in the way matter looks is called <span class="blank"> </span>? 	matter		change			A change in the way matter looks is called ?
A reaction that forms water and a salt is called a 	water		reaction 			A reaction that forms water and a salt is called a
During <span class="blank"> </span>, autotrophs use light energy to convert carbon dioxide and water into oxygen and energy-rich carbohydrates such as sugars and starches. 		autotrophs light energy sugars starches	convert	carbon dioxide		During , autotrophs use light energy to convert carbon dioxide and water into oxygen and energy-rich carbohydrates such as sugars and starches.
There is one more way to deal with our growing garbage problem.			growing garbage problem	garbage problem		There is one more way to deal with our growing garbage problem.
Leaves and grass clippings can be <span class="blank"> </span> or placed in a pile in the backyard.	grass clippings		placed in a pile in the backyard			Leaves and grass clippings can be  or placed in a pile in the backyard.
They will break down into soil and not have to be collected and take up space in our landfills.						They will break down into soil and not have to be collected and take up space in our landfills.
When a liquid changes to a gas it is called 	gas		changes			When a liquid changes to a gas it is called
When you leave a glass of water standing on the counter, water forms on the outside of the glass.					on the counter	When you leave a glass of water standing on the counter, water forms on the outside of the glass.
This is an example of <span class="blank"> </span>.						This is an example of .
The movement of water back and forth between air and the Earth's surface is called the<span class="blank"> </span>. 	water	air	movement		between air and the Earth's surface	The movement of water back and forth between air and the Earth's surface is called the.
The process by which a liquid changes to a gas 			process | changes	changes to gas		The process by which a liquid changes to a gas
The process of planting different crops on the same land in different years to help in adding nutrients back in the soil 	crops land different		process of planting different crops on the same land	back in the soil	in different years	The process of planting different crops on the same land in different years to help in adding nutrients back in the soil
The process of cutting into a hillside to slow the speed of water flowing down a slope 		flowing down slope	process of cutting	slow		The process of cutting into a hillside to slow the speed of water flowing down a slope
The process of adding fertilizer to soil to replace nutrients used up by previous crops 		crops	process of adding fertilizer	soil nutrients		The process of adding fertilizer to soil to replace nutrients used up by previous crops
Drinking lots of salt water can kill a person.	lots water		drinking	salt		Drinking lots of salt water can kill a person.
The salt in the water moves to the cells, where there is very little salt.	salt water		moves to the cells		where there is very little salt	The salt in the water moves to the cells, where there is very little salt.
As the cells move the water to balance out the salt - so that the salt is equal on both sides - water moves OUT of the cell, and the cell dies.	cells		move the water			As the cells move the water to balance out the salt - so that the salt is equal on both sides - water moves OUT of the cell, and the cell dies.
What causes this to happen?						What causes this to happen?
The final stage of the erosional process in which materials are dropped in another location is called <span class="blank"> </span>. 	process materials		final stage of the erosional process			The final stage of the erosional process in which materials are dropped in another location is called .
A species that no longer exists. 						A species that no longer exists.
Which is the best example of natureâ??s recycling process? 			recycling process			Which is the best example of nature's recycling process?
The process of wearing away rocks by natural means is called 	rocks		process of wearing away			The process of wearing away rocks by natural means is called
The process of moving sediment by wind, moving water, or ice is 		wind	process of moving			The process of moving sediment by wind, moving water, or ice is
What is the process that moves pieces of rock and soil? 	rock		process | moves			What is the process that moves pieces of rock and soil?
The process of breaking down rocks into smaller particles is called: 	rocks		process of breaking down	particles		The process of breaking down rocks into smaller particles is called:
Then droplets of water (rain, snow, sleet, or hail) fall back to the earth, this is called: 	droplets water hail		fall back to the earth	earth		Then droplets of water (rain, snow, sleet, or hail) fall back to the earth, this is called:
When liquids are heated, this occurs: 	liquids		heated			When liquids are heated, this occurs:
The process in which a snake loses its outer skin is called <span class="blank"> </span>. 	snake		process	skin		The process in which a snake loses its outer skin is called .
The process by which a gas changes into a liquid is called <span class="blank"> </span>. 	gas		process | changes	liquid called		The process by which a gas changes into a liquid is called .
What is the third step of the water cycle? 			water cycle			What is the third step of the water cycle?
What is water vapor in the air called? 						What is water vapor in the air called?
The process of planting grasses between rows of other crops to prevent soil from being washed or blown away 	grasses	washed	process of planting	prevent soil from		The process of planting grasses between rows of other crops to prevent soil from being washed or blown away
Bees help flowers reproduces through a process called 	flowers		reproduces | process			Bees help flowers reproduces through a process called
Mixtures can be separated by all of the following means except which one? 	Mixtures		separated			Mixtures can be separated by all of the following means except which one?
When you rub your hands together very quickly, it produces heat and is called 			rub your hands together very quickly	hands produces heat		When you rub your hands together very quickly, it produces heat and is called
A change in an object's position is called: 	object		change			A change in an object's position is called:
